Ensembl Gene ID	Human Ensembl Gene ID	dS	dN	% Identity	Human % Identity
FBgn0002121	ENSG00000131899			33	36
FBgn0002121	ENSG00000073350			31	35
FBgn0031213	ENSG00000168961			20	23
FBgn0031213	ENSG00000171916			21	23
FBgn0031213	ENSG00000170298			21	23
FBgn0031213	ENSG00000171747			24	30
FBgn0031213	ENSG00000119862			8	19
FBgn0031213	ENSG00000178934			9	26
FBgn0031213	ENSG00000205076			9	26
FBgn0031213	ENSG00000133317			16	20
FBgn0031214	ENSG00000168961			17	20
FBgn0031214	ENSG00000171916			18	20
FBgn0031214	ENSG00000170298			18	20
FBgn0031214	ENSG00000171747			17	21
FBgn0031214	ENSG00000119862			7	16
FBgn0031214	ENSG00000178934			6	19
FBgn0031214	ENSG00000205076			6	19
FBgn0031214	ENSG00000133317			13	15
FBgn0002931	ENSG00000168874			25	28
FBgn0031216	ENSG00000116641			49	48
FBgn0031216	ENSG00000107099			43	42
FBgn0031216	ENSG00000130158			47	47
FBgn0031217	ENSG00000163703			36	32
FBgn0026787	ENSG00000197818			49	55
FBgn0005278	ENSG00000168906			67	69
FBgn0005278	ENSG00000151224			65	67
FBgn0025683	ENSG00000138075			23	25
FBgn0001142	ENSG00000135821			55	59
FBgn0031224	ENSG00000076053			19	17
FBgn0031224	ENSG00000255663			18	28
FBgn0031224	ENSG00000185272			21	18
FBgn0259818	ENSG00000198718			9	9
FBgn0259818	ENSG00000189350			6	10
FBgn0031227	ENSG00000162927			33	31
FBgn0053635	ENSG00000173349			31	28
FBgn0016977	ENSG00000065526			13	19
FBgn0031231	ENSG00000159111			23	21
FBgn0031232	ENSG00000150051			22	18
FBgn0031233	ENSG00000121749			29	30
FBgn0031233	ENSG00000104946			29	32
FBgn0086902	ENSG00000124177			17	33
FBgn0086902	ENSG00000171316			19	34
FBgn0086902	ENSG00000177200			18	34
FBgn0086902	ENSG00000100888			17	35
FBgn0031235	ENSG00000103021			17	20
FBgn0031235	ENSG00000173013			10	8
FBgn0022246	ENSG00000148688			28	26
FBgn0031238	ENSG00000169718			48	51
FBgn0031239	ENSG00000159714			13	26
FBgn0031239	ENSG00000188818			10	24
FBgn0031239	ENSG00000206077			10	25
FBgn0003444	ENSG00000128602			27	36
FBgn0031245	ENSG00000111863			26	15
FBgn0025686	ENSG00000166126			15	17
FBgn0031247	ENSG00000232838			30	47
FBgn0017457	ENSG00000160201			69	76
FBgn0017457	ENSG00000161265			34	44
FBgn0024352	ENSG00000168439			54	48
